"TradeNumber","common.Side","Quantity","Price","PnlForTrade","CumulativePnl"
"722","Sell","4.1247","4.8399","-0.0367","1003.3977"
"723","Sell","4.1152","4.8532","-0.028","1003.3697"
"724","Sell","4.1294","4.8415","-0.0074","1003.3623"
"725","Sell","4.1322","4.8396","-0.0017","1003.3606"
"726","Sell","4.1291","4.8405","-0.0132","1003.3474"
"727","Sell","4.1333","4.8385","-8.0E-4","1003.3466"
"728","Sell","4.1335","4.8396","0.0045","1003.3511"
"729","Sell","4.1359","4.8305","-0.0215","1003.3296"
"730","Sell","4.1408","4.8343","0.0178","1003.3474"
"731","Sell","4.1385","4.8353","0.0108","1003.3582"
"732","Sell","4.1377","4.8382","0.019","1003.3772"
"733","Sell","4.1245","4.8512","0.0087","1003.3859"
"734","Sell","4.1279","4.8472","0.0087","1003.3946"
"735","Sell","4.1195","4.8589","0.0165","1003.4111"
"736","Sell","4.119","4.852","-0.0148","1003.3963"
"737","Sell","4.1271","4.8445","-0.0062","1003.3901"
"738","Sell","4.1332","4.8349","-0.0165","1003.3736"
"739","Sell","4.1429","4.8312","0.0153","1003.3889"
"740","Sell","4.1425","4.8322","0.0174","1003.4063"
"741","Sell","4.1432","4.8292","0.0083","1003.4146"
"742","Sell","4.1431","4.8303","0.0124","1003.427"
"743","Sell","4.132","4.8216","-0.0772","1003.3498"
"744","Sell","4.1541","4.818","0.0145","1003.3643"
"745","Sell","4.1478","4.8282","0.0265","1003.3908"
"746","Sell","4.1397","4.8403","0.0373","1003.4281"
"747","Sell","4.1157","4.8429","-0.0678","1003.3603"
"748","Sell","4.1292","4.8514","0.0326","1003.3929"
"749","Sell","4.12","4.8549","0.0021","1003.395"
"750","Sell","4.1194","4.853","-0.0087","1003.3863"
"751","Sell","4.1227","4.8591","0.0326","1003.4189"
"752","Sell","4.1241","4.8572","0.0318","1003.4507"
"753","Sell","4.1223","4.8665","0.0609","1003.5116"
"754","Sell","4.1049","4.8744","0.009","1003.5206"
"755","Sell","4.1168","4.8593","0.0045","1003.5251"
"756","Sell","4.1176","4.854","-0.0132","1003.5119"
"757","Sell","4.1227","4.8621","0.0449","1003.5568"
"758","Sell","4.1037","4.872","-0.0066","1003.5502"
"759","Sell","4.1075","4.8695","0.0016","1003.5518"
"760","Sell","4.107","4.8786","0.0366","1003.5884"
"761","Sell","3.8827","5.188","0.1436","1003.732"
"762","Sell","3.7171","5.4259","0.1682","1003.9002"
"763","Sell","3.7079","5.435","0.1522","1004.0524"
"764","Sell","3.7071","5.3275","-0.2499","1003.8025"
"765","Sell","3.7637","5.3322","0.0688","1003.8713"
"766","Sell","3.7479","5.2731","-0.2367","1003.6346"
"767","Sell","3.8267","5.2671","0.1552","1003.7898"
"768","Sell","3.7856","5.2674","-0.0597","1003.7301"
"769","Sell","3.8031","5.2905","0.1205","1003.8506"
"770","Sell","3.7405","5.3466","-0.0011","1003.8495"
"771","Sell","3.7447","5.3368","-0.0154","1003.8341"
"772","Sell","3.7241","5.3806","0.038","1003.8721"
"773","Sell","3.7355","5.364","0.037","1003.9091"
"774","Sell","3.7274","5.3728","0.0265","1003.9356"
"775","Sell","3.7272","5.3666","0.0026","1003.9382"
"776","Sell","3.7467","5.3634","0.0947","1004.0329"
"777","Sell","3.6787","5.4182","-0.068","1003.9649"
"778","Sell","3.6976","5.3896","-0.0713","1003.8936"
"779","Sell","3.6832","5.4589","0.1063","1003.9999"
"780","Sell","3.553","5.625","-0.0142","1003.9857"
"781","Sell","3.5836","5.5836","0.0093","1003.995"
"782","Sell","3.5748","5.5728","-0.0782","1003.9168"
"783","Sell","3.5936","5.5692","0.0133","1003.9301"
"784","Sell","3.5988","5.5535","-0.014","1003.9161"
"785","Sell","3.584","5.5764","-0.014","1003.9021"
"786","Sell","3.5979","5.5476","-0.0403","1003.8618"
"787","Sell","3.6015","5.572","0.0676","1003.9294"
"788","Sell","3.5772","5.5839","-0.0254","1003.904"
"789","Sell","3.5874","5.5767","0.0061","1003.9101"
"790","Sell","3.554","5.6235","-0.0139","1003.8962"
"791","Sell","3.5605","5.5723","-0.1597","1003.7365"
"792","Sell","3.59","5.581","0.0359","1003.7724"
"793","Sell","3.581","5.5593","-0.0919","1003.6805"
"794","Sell","3.6111","5.5176","-0.0754","1003.6051"
"795","Sell","3.6129","5.529","-0.0242","1003.5809"
"796","Sell","3.6061","5.5525","0.0231","1003.604"
"797","Sell","3.6036","5.5307","-0.0694","1003.5346"
"798","Sell","3.635","5.4906","-0.0414","1003.4932"
"799","Sell","3.6456","5.4968","0.0394","1003.5326"
"800","Sell","3.656","5.4693","-0.004","1003.5286"
"801","Sell","3.6584","5.4701","0.0117","1003.5403"
"802","Sell","3.6616","5.4772","0.0552","1003.5955"
"803","Sell","3.6504","5.4928","0.051","1003.6465"
"804","Sell","3.6356","5.4996","-0.0058","1003.6407"
"805","Sell","3.6446","5.472","-0.0568","1003.5839"
"806","Sell","3.655","5.4751","0.0113","1003.5952"
"807","Sell","3.6555","5.4934","0.0811","1003.6763"
"808","Sell","3.6117","5.5399","0.0083","1003.6846"
"809","Sell","3.5411","5.6471","-0.0032","1003.6814"
"810","Sell","3.5482","5.6577","0.0748","1003.7562"
"811","Sell","3.5402","5.6302","-0.0679","1003.6883"
"812","Sell","3.5783","5.6075","0.065","1003.7533"
"813","Sell","3.5749","5.5979","0.0122","1003.7655"
"814","Sell","3.5712","5.6141","0.0489","1003.8144"
"815","Sell","3.5905","5.582","0.0424","1003.8568"
"816","Sell","3.5828","5.5946","0.0444","1003.9012"
"817","Sell","3.5769","5.6009","0.0336","1003.9348"
"818","Sell","3.5711","5.6022","0.0061","1003.9409"
"819","Sell","3.5721","5.5819","-0.061","1003.8799"
"820","Sell","3.5762","5.5899","-0.0093","1003.8706"
"821","Sell","3.5869","5.5704","-0.0197","1003.8509"
"822","Sell","3.6022","5.5852","0.1191","1003.97"
"823","Sell","3.5855","5.594","0.0573","1004.0273"
"824","Sell","3.5504","5.6284","-0.0167","1004.0106"
"825","Sell","3.5553","5.6447","0.0685","1004.0791"
"826","Sell","3.5487","5.6671","0.111","1004.1901"
"827","Sell","3.4722","5.798","0.1318","1004.3219"
"828","Sell","3.4397","5.8086","-0.02","1004.3019"
"829","Sell","3.4486","5.8173","0.0616","1004.3635"
"830","Sell","3.4488","5.7907","-0.029","1004.3345"
"831","Sell","3.4619","5.7971","0.0691","1004.4036"
"832","Sell","3.4545","5.8002","0.0366","1004.4402"
"833","Sell","3.4613","5.7818","0.0128","1004.453"
"834","Sell","3.4714","5.7378","-0.0818","1004.3712"
"835","Sell","3.4877","5.7536","0.0665","1004.4377"
"836","Sell","3.4579","5.6289","-0.5355","1003.9022"
"837","Sell","3.5535","5.6275","-0.0028","1003.8994"
"838","Sell","3.5234","5.6868","0.037","1003.9364"
"839","Sell","3.5038","5.6989","-0.0322","1003.9042"
"840","Sell","3.5112","5.6944","-0.006","1003.8982"
"841","Sell","3.4821","5.7263","-0.0601","1003.8381"
"842","Sell","3.4744","5.7678","0.0396","1003.8777"
"843","Sell","3.4679","5.7515","-0.054","1003.8237"
"844","Sell","3.4783","5.7384","-0.0403","1003.7834"
"845","Sell","3.4871","5.7403","0.0167","1003.8001"
"846","Sell","3.4969","5.7303","0.0385","1003.8386"
"847","Sell","3.4881","5.7201","-0.0474","1003.7912"
"848","Sell","3.5089","5.695","-0.0168","1003.7744"
"849","Sell","3.5188","5.6603","-0.0822","1003.6922"
"850","Sell","3.552","5.6627","0.1136","1003.8058"
"851","Sell","3.4883","5.757","0.0819","1003.8877"
"852","Sell","3.4669","5.7831","0.0496","1003.9373"
"853","Sell","3.4491","5.7676","-0.1068","1003.8305"
"854","Sell","3.4803","5.7793","0.1137","1003.9442"
"855","Sell","3.469","5.791","0.0891","1004.0333"
"856","Sell","3.4504","5.8056","0.0314","1004.0647"
"857","Sell","3.439","5.8698","0.1858","1004.2505"
"858","Sell","3.4108","5.8661","0.0082","1004.2587"
"859","Sell","3.3946","5.8958","0.0139","1004.2726"
"860","Sell","3.3866","5.9246","0.0639","1004.3365"
"861","Sell","3.369","5.8909","-0.1531","1004.1834"
"862","Sell","3.421","5.8725","0.0895","1004.2729"
"863","Sell","3.3961","5.8354","-0.1822","1004.0907"
"864","Sell","3.4268","5.8238","-0.0432","1004.0475"
"865","Sell","3.4305","5.8576","0.0946","1004.1421"
"866","Sell","3.425","5.8212","-0.0626","1004.0795"
"867","Sell","3.4415","5.8434","0.1097","1004.1892"
"868","Sell","3.4222","5.8638","0.067","1004.2562"
"869","Sell","3.3921","5.9219","0.0878","1004.344"
