"TradeNumber","common.Side","Quantity","Price","PnlForTrade","CumulativePnl"
"937","Sell","3.147","6.1998","-0.4885","1003.916"
"938","Sell","3.2029","6.2482","0.0125","1003.9285"
"939","Sell","3.2135","6.2458","0.0709","1003.9994"
"940","Sell","3.202","6.1135","-0.4239","1003.5755"
"941","Sell","3.2844","6.0848","-0.0151","1003.5604"
"942","Sell","3.2932","6.0985","0.0832","1003.6436"
"943","Sell","3.269","6.063","-0.1799","1003.4637"
"944","Sell","3.2714","6.1212","0.0252","1003.4889"
"945","Sell","3.2629","6.1573","0.0903","1003.5792"
"946","Sell","3.2195","6.2042","-0.0254","1003.5538"
"947","Sell","3.241","6.1948","0.0774","1003.6312"
"948","Sell","3.2281","6.1918","-0.0123","1003.6189"
"949","Sell","3.2252","6.208","0.0223","1003.6412"
"950","Sell","3.2333","6.2048","0.0617","1003.7029"
"951","Sell","3.2353","6.1826","0.0023","1003.7052"
"952","Sell","3.2392","6.2","0.0831","1003.7883"
"953","Sell","3.2252","6.2014","0.001","1003.7893"
"954","Sell","3.207","6.259","0.0727","1003.862"
"955","Sell","3.1977","6.2471","-0.0237","1003.8383"
"956","Sell","3.2075","6.2709","0.1141","1003.9524"
"957","Sell","3.1581","6.33","-0.0095","1003.9429"
"958","Sell","3.1813","6.2849","-0.0057","1003.9372"
"959","Sell","3.1812","6.2718","-0.0484","1003.8888"
"960","Sell","3.1949","6.2583","-0.0054","1003.8834"
"961","Sell","3.2024","6.2489","0.0112","1003.8946"
"962","Sell","3.2071","6.2222","-0.0449","1003.8497"
"963","Sell","3.1905","6.2632","-0.0172","1003.8325"
"964","Sell","3.191","6.2744","0.0217","1003.8542"
"965","Sell","3.1943","6.1971","-0.2046","1003.6496"
"966","Sell","3.2287","6.1816","-0.0413","1003.6083"
"967","Sell","3.2382","6.1701","-0.0198","1003.5885"
"968","Sell","3.2471","6.1486","-0.0347","1003.5538"
"969","Sell","3.2382","6.1788","0.0084","1003.5622"
"970","Sell","3.2392","6.1913","0.055","1003.6172"
"971","Sell","3.2436","6.206","0.1296","1003.7468"
"972","Sell","3.2283","6.2","0.0152","1003.762"
"973","Sell","3.2273","6.2017","0.0148","1003.7768"
"974","Sell","3.232","6.1934","0.0171","1003.7939"
"975","Sell","3.2148","6.2239","0.0084","1003.8023"
"976","Sell","3.1999","6.2671","0.0543","1003.8566"
"977","Sell","3.1991","6.2031","-0.1553","1003.7013"
"978","Sell","3.2306","6.1902","-0.0019","1003.6994"
"979","Sell","3.2357","6.1516","-0.095","1003.6044"
"980","Sell","3.2637","6.1082","-0.0645","1003.5399"
"981","Sell","3.2902","6.1038","0.0828","1003.6227"
"982","Sell","3.2706","5.9309","-0.6015","1003.0212"
"983","Sell","3.4004","5.8186","-0.2144","1002.8068"
"984","Sell","3.4069","5.9201","0.1688","1002.9756"
"985","Sell","3.3559","5.9812","0.0724","1003.048"
"986","Sell","3.2792","6.06","-0.1281","1002.9199"
"987","Sell","3.2943","6.0935","0.0737","1002.9936"
"988","Sell","3.2835","5.9806","-0.3624","1002.6312"
"989","Sell","3.3451","5.9401","-0.1297","1002.5015"
"990","Sell","3.3557","6.0037","0.1465","1002.648"
"991","Sell","3.3305","5.9955","-0.032","1002.616"
"992","Sell","3.3429","5.9681","-0.0495","1002.5665"
"993","Sell","3.345","5.9734","-0.0187","1002.5478"
"994","Sell","3.3605","5.8898","-0.2071","1002.3407"
"995","Sell","3.3903","5.8971","-0.0071","1002.3336"
"996","Sell","3.4002","5.9242","0.1434","1002.477"
"997","Sell","3.3822","5.9181","0.0162","1002.4932"
"998","Sell","3.3161","6.0205","-0.0352","1002.458"
"999","Sell","3.3376","6.0168","0.0817","1002.5397"
"1000","Sell","3.2994","6.05","-0.0386","1002.5011"
"1001","Sell","3.3096","6.0577","0.0487","1002.5498"
"1002","Sell","3.311","6.0313","-0.0301","1002.5197"
"1003","Sell","3.3035","6.0582","0.0132","1002.5329"
"1004","Sell","3.264","6.1147","-0.0418","1002.4911"
"1005","Sell","3.2775","6.1105","0.0269","1002.518"
"1006","Sell","3.292","6.0952","0.0654","1002.5834"
"1007","Sell","3.2814","6.0985","0.0115","1002.5949"
"1008","Sell","3.2791","6.1","0.0026","1002.5975"
"1009","Sell","3.2802","6.084","-0.043","1002.5545"
"1010","Sell","3.2985","6.0637","0.0013","1002.5558"
"1011","Sell","3.2921","6.102","0.0885","1002.6443"
"1012","Sell","3.2859","6.0592","-0.0903","1002.554"
"1013","Sell","3.2954","6.0828","0.0451","1002.5991"
"1014","Sell","3.3031","6.0707","0.0518","1002.6509"
"1015","Sell","3.2948","6.0656","-0.0148","1002.6361"
"1016","Sell","3.3052","6.0342","-0.0558","1002.5803"
"1017","Sell","3.3321","6.007","0.016","1002.5963"
"1018","Sell","3.333","6.032","0.1046","1002.7009"
"1019","Sell","3.3288","5.9658","-0.141","1002.5599"
"1020","Sell","3.358","5.9631","0.0238","1002.5837"
"1021","Sell","3.343","5.9743","-0.0281","1002.5556"
"1022","Sell","3.3444","5.985","0.0161","1002.5717"
"1023","Sell","3.3441","5.9874","0.0227","1002.5944"
"1024","Sell","3.3555","5.9444","-0.0533","1002.5411"
"1025","Sell","3.3752","5.9607","0.1184","1002.6595"
"1026","Sell","3.3619","5.9557","0.0225","1002.682"
"1027","Sell","3.3697","5.88","-0.1858","1002.4962"
"1028","Sell","3.3987","5.8836","-0.0034","1002.4928"
"1029","Sell","3.405","5.8934","0.0666","1002.5594"
"1030","Sell","3.3917","5.8988","0.0071","1002.5665"
"1031","Sell","3.3924","5.9062","0.036","1002.6025"
"1032","Sell","3.3964","5.8853","-0.0112","1002.5913"
"1033","Sell","3.4091","5.8797","0.0443","1002.6356"
"1034","Sell","3.4055","5.8883","0.0523","1002.6879"
"1035","Sell","3.3975","5.8948","0.0275","1002.7154"
"1036","Sell","3.399","5.7855","-0.3345","1002.3809"
"1037","Sell","3.4061","5.8455","-0.0895","1002.2914"
"1038","Sell","3.3725","5.96","0.1001","1002.3915"
"1039","Sell","3.3661","5.9383","-0.0111","1002.3804"
"1040","Sell","3.3751","5.94","0.0483","1002.4287"
"1041","Sell","3.3824","5.916","0.0101","1002.4388"
"1042","Sell","3.3887","5.9107","0.0298","1002.4686"
"1043","Sell","3.3885","5.9148","0.0424","1002.511"
"1044","Sell","3.3914","5.8805","-0.0569","1002.4541"
"1045","Sell","3.4049","5.8641","-0.0334","1002.4207"
"1046","Sell","3.4138","5.8674","0.03","1002.4507"
"1047","Sell","3.4119","5.8777","0.0541","1002.5048"
"1048","Sell","3.408","5.8824","0.047","1002.5518"
"1049","Sell","3.3901","5.8231","-0.259","1002.2928"
"1050","Sell","3.4236","5.822","-0.0677","1002.2251"
"1051","Sell","3.435","5.8242","0.0062","1002.2313"
"1052","Sell","3.4235","5.8469","0.0168","1002.2481"
"1053","Sell","3.4355","5.7536","-0.2334","1002.0147"
"1054","Sell","3.4549","5.7995","0.0366","1002.0513"
"1055","Sell","3.4588","5.8318","0.1707","1002.222"
"1056","Sell","3.432","5.8309","0.0117","1002.2337"
"1057","Sell","3.4365","5.8248","0.0172","1002.2509"
"1058","Sell","3.4502","5.7973","0.0021","1002.253"
"1059","Sell","3.4561","5.7422","-0.1543","1002.0987"
"1060","Sell","3.481","5.7575","0.0418","1002.1405"
"1061","Sell","3.4528","5.8055","0.0452","1002.1857"
"1062","Sell","3.4445","5.8218","0.0533","1002.239"
"1063","Sell","3.36","5.9447","-0.0255","1002.2135"
"1064","Sell","3.3693","5.946","0.0337","1002.2472"
"1065","Sell","3.3634","5.9438","-0.0084","1002.2388"
"1066","Sell","3.3093","6.0691","0.0843","1002.3231"
"1067","Sell","3.2994","6.0134","-0.1595","1002.1636"
"1068","Sell","3.3412","5.96","-0.0861","1002.0775"
"1069","Sell","3.3386","5.985","-0.0184","1002.0591"
"1070","Sell","3.3504","5.964","-0.0181","1002.041"
"1071","Sell","3.3449","5.9873","0.0271","1002.0681"
"1072","Sell","3.3008","6.0633","0.0139","1002.082"
"1073","Sell","3.2687","6.1171","-0.0052","1002.0768"
"1074","Sell","3.2401","6.1721","-0.0019","1002.0749"
"1075","Sell","3.2521","6.1714","0.0701","1002.145"
"1076","Sell","3.2498","6.17","0.0509","1002.1959"
"1077","Sell","3.246","6.1475","-0.0454","1002.1505"
"1078","Sell","3.2626","6.1552","0.0821","1002.2326"
"1079","Sell","3.2552","6.0614","-0.2689","1001.9637"
"1080","Sell","3.2956","6.0655","-0.0105","1001.9532"
"1081","Sell","3.2979","6.0687","0.0139","1001.9671"
"1082","Sell","3.2928","6.0862","0.0408","1002.0079"
"1083","Sell","3.2873","6.1105","0.0867","1002.0946"
"1084","Sell","3.2587","6.1236","-0.0453","1002.0493"
"1085","Sell","3.274","6.1232","0.0471","1002.0964"
"1086","Sell","3.2704","6.1161","0.0023","1002.0987"
"1087","Sell","3.2698","6.1434","0.0879","1002.1866"
"1088","Sell","3.2535","6.1569","0.0316","1002.2182"
"1089","Sell","3.2535","6.16","0.0416","1002.2598"
"1090","Sell","3.2481","6.1518","-0.0185","1002.2413"
"1091","Sell","3.2561","6.1667","0.0793","1002.3206"
"1092","Sell","3.242","6.1748","0.0185","1002.3391"
"1093","Sell","3.2175","6.224","0.0254","1002.3645"
"1094","Sell","3.2092","6.2492","0.0551","1002.4196"
"1095","Sell","3.2027","6.2554","0.0339","1002.4535"
"1096","Sell","3.2171","6.2258","0.029","1002.4825"
"1097","Sell","3.2281","6.2076","0.0387","1002.5212"
"1098","Sell","3.2276","6.2077","0.0361","1002.5573"
"1099","Sell","3.2305","6.2064","0.05","1002.6073"
"1100","Sell","3.2298","6.1818","-0.0342","1002.5731"
"1101","Sell","3.2369","6.1732","-0.0181","1002.555"
"1102","Sell","3.2392","6.1831","0.0285","1002.5835"
"1103","Sell","3.2423","6.1697","0.0039","1002.5874"
"1104","Sell","3.2453","6.1635","0.0023","1002.5897"
"1105","Sell","3.2339","6.1839","-0.0019","1002.5878"
"1106","Sell","3.2288","6.1522","-0.1355","1002.4523"
"1107","Sell","3.2544","6.1406","-0.0163","1002.436"
"1108","Sell","3.2604","6.1543","0.0654","1002.5014"
"1109","Sell","3.2429","6.1802","0.0415","1002.5429"
"1110","Sell","3.2281","6.1899","-0.0184","1002.5245"
"1111","Sell","3.2342","6.1904","0.0207","1002.5452"
"1112","Sell","3.2278","6.1743","-0.0706","1002.4746"
"1113","Sell","3.2389","6.165","-0.0324","1002.4422"
"1114","Sell","3.25","6.157","0.0101","1002.4523"
"1115","Sell","3.2482","6.1339","-0.0756","1002.3767"
"1116","Sell","3.2563","6.1545","0.0407","1002.4174"
"1117","Sell","3.2547","6.1485","0.0114","1002.4288"
"1118","Sell","3.2573","6.1267","-0.0433","1002.3855"
"1119","Sell","3.2655","6.1319","0.0235","1002.409"
"1120","Sell","3.259","6.1249","-0.0388","1002.3702"
"1121","Sell","3.269","6.1172","-0.0026","1002.3676"
"1122","Sell","3.2674","6.1218","0.0026","1002.3702"
"1123","Sell","3.2724","6.0224","-0.2923","1002.0779"
"1124","Sell","3.3294","6.0104","0.011","1002.0889"
"1125","Sell","3.3087","6.0533","0.0285","1002.1174"
"1126","Sell","3.311","6.0571","0.0552","1002.1726"
"1127","Sell","3.3213","6.06","0.1268","1002.2994"
"1128","Sell","3.3057","6.0603","0.0337","1002.3331"
"1129","Sell","3.3046","6.0495","-0.0086","1002.3245"
"1130","Sell","3.3091","6.0454","0.0046","1002.3291"
"1131","Sell","3.3136","6.0231","-0.0421","1002.287"
"1132","Sell","3.3221","6.0234","0.0106","1002.2976"
"1133","Sell","3.3251","6.0173","0.008","1002.3056"
"1134","Sell","3.3264","6.0252","0.0422","1002.3478"
"1135","Sell","3.3337","6.0238","0.0812","1002.429"
"1136","Sell","3.3219","6.0276","0.0233","1002.4523"
"1137","Sell","3.3296","6.033","0.0871","1002.5394"
"1138","Sell","3.3047","6.0623","0.034","1002.5734"
"1139","Sell","3.303","6.0489","-0.0205","1002.5529"
"1140","Sell","3.3066","6.0449","-0.0122","1002.5407"
"1141","Sell","3.3141","6.0216","-0.0441","1002.4966"
"1142","Sell","3.3246","6.0217","0.0196","1002.5162"
"1143","Sell","3.3021","6.08","0.0765","1002.5927"
"1144","Sell","3.2842","6.0895","-0.001","1002.5917"
"1145","Sell","3.2831","6.0848","-0.023","1002.5687"
"1146","Sell","3.2983","6.0777","0.0458","1002.6145"
"1147","Sell","3.2674","6.1248","0.0121","1002.6266"
"1148","Sell","3.2771","6.1271","0.0792","1002.7058"
"1149","Sell","3.2757","6.1089","0.0111","1002.7169"
"1150","Sell","3.261","6.1347","0.0055","1002.7224"
"1151","Sell","3.2676","6.1275","0.0222","1002.7446"
"1152","Sell","3.2712","6.112","-0.0062","1002.7384"
"1153","Sell","3.2767","6.1541","0.1649","1002.9033"
"1154","Sell","3.2621","6.113","-0.0589","1002.8444"
"1155","Sell","3.2771","6.1213","0.0602","1002.9046"
"1156","Sell","3.2657","6.1236","-0.0023","1002.9023"
"1157","Sell","3.2672","6.1307","0.0304","1002.9327"
"1158","Sell","3.2683","6.1041","-0.0497","1002.883"
"1159","Sell","3.2736","6.0694","-0.1308","1002.7522"
"1160","Sell","3.2972","6.0794","0.0452","1002.7974"
"1161","Sell","3.2949","6.096","0.0856","1002.883"
"1162","Sell","3.285","6.0845","-0.0122","1002.8708"
"1163","Sell","3.2874","6.0885","0.0151","1002.8859"
"1164","Sell","3.2896","6.0578","-0.0723","1002.8136"
"1165","Sell","3.2938","6.092","0.0654","1002.879"
"1166","Sell","3.2836","6.0816","-0.0302","1002.8488"
"1167","Sell","3.2824","6.0826","-0.0345","1002.8143"
"1168","Sell","3.2971","6.0775","0.0382","1002.8525"
"1169","Sell","3.2957","6.0867","0.0596","1002.9121"
"1170","Sell","3.2916","6.0641","-0.0392","1002.8729"
"1171","Sell","3.2969","6.0668","0.0016","1002.8745"
"1172","Sell","3.293","6.0838","0.0339","1002.9084"
"1173","Sell","3.2547","6.1406","-0.0143","1002.8941"
"1174","Sell","3.2631","6.1354","0.0202","1002.9143"
"1175","Sell","3.2681","6.1315","0.0382","1002.9525"
"1176","Sell","3.2416","6.1751","0.0172","1002.9697"
"1177","Sell","3.2423","6.1755","0.0227","1002.9924"
"1178","Sell","3.2425","6.1608","-0.0233","1002.9691"
"1179","Sell","3.2484","6.1705","0.0445","1003.0136"
"1180","Sell","3.2336","6.1898","0.0155","1003.0291"
"1181","Sell","3.2342","6.1919","0.0256","1003.0547"
"1182","Sell","3.2287","6.16","-0.1113","1002.9434"
"1183","Sell","3.2554","6.1562","0.0407","1002.9841"
"1184","Sell","3.25","6.1583","0.0146","1002.9987"
"1185","Sell","3.2395","6.1665","-0.0233","1002.9754"
"1186","Sell","3.2527","6.1556","0.0221","1002.9975"
"1187","Sell","3.2567","6.1555","0.0466","1003.0441"
"1188","Sell","3.2396","6.1782","0.0149","1003.059"
"1189","Sell","3.238","6.183","0.0204","1003.0794"
"1190","Sell","3.2389","6.1793","0.0143","1003.0937"
"1191","Sell","3.2368","6.1796","0.0019","1003.0956"
"1192","Sell","3.2407","6.1818","0.0331","1003.1287"
"1193","Sell","3.2341","6.1858","0.0055","1003.1342"
"1194","Sell","3.2421","6.1504","-0.0596","1003.0746"
"1195","Sell","3.2574","6.1489","0.0296","1003.1042"
"1196","Sell","3.2565","6.1273","-0.0466","1003.0576"
"1197","Sell","3.2624","6.1335","0.0101","1003.0677"
"1198","Sell","3.2693","6.138","0.0669","1003.1346"
"1199","Sell","3.2525","6.1496","0.0013","1003.1359"
"1200","Sell","3.252","6.1356","-0.0468","1003.0891"
"1201","Sell","3.268","6.1301","0.033","1003.1221"
"1202","Sell","3.2681","6.1263","0.0216","1003.1437"
"1203","Sell","3.2633","6.138","0.0303","1003.174"
"1204","Sell","3.2469","6.1659","0.0198","1003.1938"
"1205","Sell","3.2471","6.176","0.0541","1003.2479"
"1206","Sell","3.2405","6.1757","0.0123","1003.2602"
"1207","Sell","3.2389","6.1751","3.0E-4","1003.2605"
"1208","Sell","3.203","6.2559","0.0378","1003.2983"
"1209","Sell","3.1929","6.271","0.023","1003.3213"
"1210","Sell","3.1983","6.2416","-0.0377","1003.2836"
"1211","Sell","3.1705","6.3388","0.0972","1003.3808"
"1212","Sell","3.1491","6.3584","0.0233","1003.4041"
"1213","Sell","3.1308","6.3832","-0.0157","1003.3884"
"1214","Sell","3.146","6.3624","0.016","1003.4044"
"1215","Sell","3.1538","6.359","0.0551","1003.4595"
"1216","Sell","3.1467","6.3499","-0.0189","1003.4406"
"1217","Sell","3.1546","6.3419","0.006","1003.4466"
"1218","Sell","3.1429","6.3669","0.0107","1003.4573"
"1219","Sell","3.1397","6.3837","0.043","1003.5003"
"1220","Sell","3.1226","6.4291","0.0752","1003.5755"
"1221","Sell","3.037","6.6446","0.1793","1003.7548"
"1222","Sell","3.0271","6.6398","0.0992","1003.854"
"1223","Sell","2.9793","6.607","-0.3155","1003.5385"
"1224","Sell","3.0118","6.6332","-0.022","1003.5165"
"1225","Sell","3.0321","6.5489","-0.1427","1003.3738"
"1226","Sell","3.0584","6.5547","0.0468","1003.4206"
"1227","Sell","3.0143","6.6821","0.1416","1003.5622"
"1228","Sell","2.9754","6.7567","0.1037","1003.6659"
"1229","Sell","2.9759","6.655","-0.195","1003.4709"
"1230","Sell","3.0055","6.654","-0.0015","1003.4694"
"1231","Sell","3.0111","6.6799","0.1134","1003.5828"
"1232","Sell","2.9187","6.8545","0.0061","1003.5889"
"1233","Sell","2.9249","6.8632","0.0739","1003.6628"
"1234","Sell","2.9138","6.8031","-0.1773","1003.4855"
"1235","Sell","2.9499","6.792","0.0354","1003.5209"
"1236","Sell","2.9476","6.7385","-0.1376","1003.3833"
"1237","Sell","2.9396","6.794","-0.0285","1003.3548"
"1238","Sell","2.952","6.8161","0.1209","1003.4757"
"1239","Sell","2.9332","6.8411","0.0665","1003.5422"
"1240","Sell","2.9355","6.7793","-0.0994","1003.4428"
"1241","Sell","2.9473","6.8113","0.0748","1003.5176"
"1242","Sell","2.9443","6.7506","-0.1239","1003.3937"
"1243","Sell","2.965","6.7146","-0.0909","1003.3028"
"1244","Sell","2.9433","6.7982","0.0088","1003.3116"
"1245","Sell","2.9256","6.8387","0.0076","1003.3192"
"1246","Sell","2.8944","6.9399","0.0867","1003.4059"
"1247","Sell","2.8967","6.9324","0.0813","1003.4872"
"1248","Sell","2.9019","6.9256","0.0974","1003.5846"
"1249","Sell","2.8872","6.9542","0.0779","1003.6625"
"1250","Sell","2.7905","7.215","0.1336","1003.7961"
"1251","Sell","2.7747","7.2652","0.1585","1003.9546"
"1252","Sell","2.7889","7.1998","0.0794","1004.034"
"1253","Sell","2.7749","7.1343","-0.2029","1003.8311"
"1254","Sell","2.8125","7.1453","0.0964","1003.9275"
"1255","Sell","2.8012","7.1473","0.0213","1003.9488"
"1256","Sell","2.7954","7.1564","0.0053","1003.9541"
"1257","Sell","2.7718","7.2514","0.0994","1004.0535"
"1258","Sell","2.7466","7.3215","0.1092","1004.1627"
"1259","Sell","2.7401","7.2708","-0.0769","1004.0858"
"1260","Sell","2.7492","7.2909","0.0443","1004.1301"
"1261","Sell","2.3981","8.2384","-0.2432","1003.8869"
"1262","Sell","2.4403","8.0383","-0.3837","1003.5032"
"1263","Sell","2.513","7.8687","-0.226","1003.2772"
"1264","Sell","2.5313","7.9225","0.0541","1003.3313"
"1265","Sell","2.5311","7.9599","0.147","1003.4783"
"1266","Sell","2.5361","7.9476","0.1555","1003.6338"
"1267","Sell","2.5006","8.039","0.1024","1003.7362"
"1268","Sell","2.454","7.9756","-0.4273","1003.3089"
"1269","Sell","2.5106","8.0552","0.2232","1003.5321"
"1270","Sell","2.505","7.8966","-0.2187","1003.3134"
"1271","Sell","2.5478","7.8569","0.0176","1003.331"
"1272","Sell","2.5235","7.9862","0.1527","1003.4837"
"1273","Sell","2.5012","8.0128","0.0415","1003.5252"
"1274","Sell","2.5022","7.8962","-0.2418","1003.2834"
"1275","Sell","2.5319","7.8702","-0.0733","1003.2101"
"1276","Sell","2.5395","7.7076","-0.4265","1002.7836"
"1277","Sell","2.5972","7.7618","0.1585","1002.9421"
"1278","Sell","2.5789","7.7881","0.0847","1003.0268"
"1279","Sell","2.5755","7.7179","-0.1228","1002.904"
"1280","Sell","2.594","7.7035","-0.0169","1002.8871"
"1281","Sell","2.5806","7.7968","0.1207","1003.0078"
"1282","Sell","2.5674","7.7886","-0.0039","1003.0039"
"1283","Sell","2.5644","7.8067","0.0195","1003.0234"
"1284","Sell","2.557","7.871","0.1257","1003.1491"
"1285","Sell","2.551","7.8689","0.0731","1003.2222"
"1286","Sell","2.5246","7.9194","-0.0068","1003.2154"
"1287","Sell","2.5393","7.8783","0.0053","1003.2207"
"1288","Sell","2.5553","7.8479","0.0533","1003.274"
"1289","Sell","2.5578","7.8293","0.0261","1003.3001"
"1290","Sell","2.5575","7.8421","0.0559","1003.356"
"1291","Sell","2.5572","7.8268","0.0146","1003.3706"
"1292","Sell","2.5466","7.7552","-0.25","1003.1206"
"1293","Sell","2.5848","7.7688","0.0808","1003.2014"
"1294","Sell","2.5792","7.7596","0.0139","1003.2153"
"1295","Sell","2.5852","7.7376","0.0031","1003.2184"
"1296","Sell","2.5853","7.7595","0.0609","1003.2793"
"1297","Sell","2.5656","7.8256","0.0776","1003.3569"
"1298","Sell","2.5589","7.8141","-0.0044","1003.3525"
"1299","Sell","2.5395","7.9013","0.0654","1003.4179"
"1300","Sell","2.5283","7.8839","-0.0674","1003.3505"
"1301","Sell","2.5375","7.8561","-0.0651","1003.2854"
"1302","Sell","2.5504","7.8432","0.0033","1003.2887"
"1303","Sell","2.5634","7.7762","-0.0665","1003.2222"
"1304","Sell","2.614","7.535","-0.3032","1002.919"
"1305","Sell","2.632","7.5935","-0.0139","1002.9051"
"1306","Sell","2.6385","7.5267","-0.1411","1002.764"
"1307","Sell","2.6666","7.4169","-0.2219","1002.5421"
"1308","Sell","2.6999","7.4362","0.0768","1002.6189"
"1309","Sell","2.7063","7.4092","0.051","1002.6699"
"1310","Sell","2.7002","7.4637","0.1534","1002.8233"
"1311","Sell","2.6827","7.4252","-0.0806","1002.7427"
"1312","Sell","2.6967","7.4379","0.0576","1002.8003"
"1313","Sell","2.6603","7.4994","-0.0495","1002.7508"
"1314","Sell","2.6738","7.4912","0.0299","1002.7807"
"1315","Sell","2.6843","7.4597","0.0244","1002.8051"
"1316","Sell","2.6982","7.3234","-0.2399","1002.5652"
"1317","Sell","2.7445","7.279","-0.0231","1002.5421"
"1318","Sell","2.7497","7.2559","-0.0484","1002.4937"
"1319","Sell","2.771","7.1357","-0.227","1002.2667"
"1320","Sell","2.8154","7.0817","-0.0624","1002.2043"
"1321","Sell","2.8204","7.1623","0.2006","1002.4049"
"1322","Sell","2.7996","7.1058","-0.1063","1002.2986"
"1323","Sell","2.8334","7.1229","0.1817","1002.4803"
"1324","Sell","2.7963","7.18","0.0771","1002.5574"
"1325","Sell","2.7647","7.2501","0.0445","1002.6019"
"1326","Sell","2.7563","7.282","0.0716","1002.6735"
"1327","Sell","2.766","7.1918","-0.1075","1002.566"
"1328","Sell","2.7952","7.1618","0.0187","1002.5847"
"1329","Sell","2.8253","7.0744","-0.013","1002.5717"
"1330","Sell","2.8444","7.1172","0.2438","1002.8155"
"1331","Sell","2.8212","7.1134","0.0685","1002.884"
"1332","Sell","2.818","7.0605","-0.1036","1002.7804"
"1333","Sell","2.8315","7.1074","0.1245","1002.9049"
"1334","Sell","2.7829","7.1571","-0.0823","1002.8226"
"1335","Sell","2.8072","7.1045","-0.0563","1002.7663"
"1336","Sell","2.7872","7.2158","0.1117","1002.878"
"1337","Sell","2.756","7.2924","0.098","1002.976"
"1338","Sell","2.7062","7.375","-0.0417","1002.9343"
"1339","Sell","2.7145","7.3758","0.0217","1002.956"
"1340","Sell","2.7355","7.3471","0.0978","1003.0538"
"1341","Sell","2.7287","7.3859","0.1534","1003.2072"
"1342","Sell","2.7165","7.3783","0.0429","1003.2501"
"1343","Sell","2.7155","7.2624","-0.2783","1002.9718"
"1344","Sell","2.7754","7.2495","0.1204","1003.0922"
"1345","Sell","2.7621","7.1838","-0.1572","1002.935"
"1346","Sell","2.7896","7.1347","-0.097","1002.838"
"1347","Sell","2.7988","7.1394","-0.0179","1002.8201"
"1348","Sell","2.8045","7.1766","0.1269","1002.947"
"1349","Sell","2.7997","7.0572","-0.242","1002.705"
"1350","Sell","2.8177","7.0989","0.0025","1002.7075"
"1351","Sell","2.8204","7.0886","-0.0071","1002.7004"
"1352","Sell","2.8282","7.1348","0.1785","1002.8789"
"1353","Sell","2.8062","7.1315","0.0123","1002.8912"
"1354","Sell","2.8064","7.1485","0.0616","1002.9528"
"1355","Sell","2.7959","7.1542","0.0022","1002.955"
"1356","Sell","2.7702","7.2491","0.0811","1003.0361"
"1357","Sell","2.7702","7.244","0.0672","1003.1033"
"1358","Sell","2.7646","7.2455","0.031","1003.1343"
"1359","Sell","2.7642","7.24","0.0127","1003.147"
"1360","Sell","2.7718","7.2358","0.0562","1003.2032"
"1361","Sell","2.7651","7.2129","-0.0552","1003.148"
"1362","Sell","2.7838","7.1661","-0.0506","1003.0974"
"1363","Sell","2.7878","7.1682","-0.0164","1003.081"
"1364","Sell","2.7487","7.2855","0.0256","1003.1066"
"1365","Sell","2.7503","7.2891","0.0473","1003.1539"
"1366","Sell","2.7323","7.3224","0.0068","1003.1607"
"1367","Sell","2.7285","7.32","-0.0276","1003.1331"
"1368","Sell","2.7321","7.3393","0.0518","1003.1849"
"1369","Sell","2.7387","7.2946","-0.0225","1003.1624"
"1370","Sell","2.7502","7.2687","-0.0096","1003.1528"
"1371","Sell","2.7527","7.269","0.0091","1003.1619"
"1372","Sell","2.7575","7.2927","0.1094","1003.2713"
"1373","Sell","2.7376","7.3177","0.0326","1003.3039"
"1374","Sell","2.7463","7.3345","0.143","1003.4469"
"1375","Sell","2.6753","7.5112","0.0946","1003.5415"
"1376","Sell","2.6328","7.5568","-0.1044","1003.4371"
"1377","Sell","2.6663","7.5753","0.1982","1003.6353"
"1378","Sell","2.6376","7.5911","0.0224","1003.6577"
"1379","Sell","2.6489","7.567","0.044","1003.7017"
"1380","Sell","2.6491","7.5528","0.0079","1003.7096"
"1381","Sell","2.663","7.5582","0.1272","1003.8368"
"1382","Sell","2.6619","7.4922","-0.0563","1003.7805"
"1383","Sell","2.6687","7.4926","-0.0043","1003.7762"
"1384","Sell","2.6638","7.449","-0.157","1003.6192"
"1385","Sell","2.692","7.3955","-0.0912","1003.528"
"1386","Sell","2.7089","7.4066","0.0633","1003.5913"
"1387","Sell","2.686","7.4725","0.0708","1003.6621"
"1388","Sell","2.656","7.4998","-0.0801","1003.582"
"1389","Sell","2.6207","7.6511","0.051","1003.633"
"1390","Sell","2.5932","7.7126","0.0","1003.633"
"1391","Sell","2.5575","7.8517","0.081","1003.714"
"1392","Sell","2.5478","7.8177","-0.0822","1003.6318"
"1393","Sell","2.5256","8.004","0.215","1003.8468"
"1394","Sell","2.4475","7.9616","-0.5132","1003.3336"
"1395","Sell","2.5391","7.9371","0.1532","1003.4868"
"1396","Sell","2.5291","7.9318","0.0606","1003.5474"
"1397","Sell","2.5165","7.9527","0.0133","1003.5607"
"1398","Sell","2.4598","8.1199","-0.0263","1003.5344"
"1399","Sell","2.4811","8.1218","0.1504","1003.6848"
"1400","Sell","2.4669","8.0865","-0.051","1003.6338"
"1401","Sell","2.4829","8.0892","0.0848","1003.7186"
"1402","Sell","2.4422","8.19","0.0017","1003.7203"
"1403","Sell","2.4523","8.2024","0.1144","1003.8347"
"1404","Sell","2.451","8.23","0.1716","1004.0063"
